epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,896.051,0.93672,1.63407,2.20229,1.09296,0.27328,0.15776,0.09953,0.06904,0.26764,0.15666,0.09749,0.06343,1.02011,1.9434,2.68796,1.20085,0.0094258,0.0094258,0.0094258
31,924.633,0.93541,1.63446,2.15501,1.08484,0.28129,0.15411,0.09338,0.06603,0.28268,0.15437,0.0933,0.06236,0.97889,1.93714,2.70254,1.17932,0.009406,0.009406,0.009406
32,952.322,0.93426,1.6201,2.18036,1.09288,0.29281,0.16252,0.10729,0.07474,0.29263,0.16077,0.10656,0.06897,1.00668,1.97064,2.49678,1.19498,0.0093862,0.0093862,0.0093862
33,979.557,0.93421,1.62315,2.17083,1.0909,0.2391,0.15535,0.10312,0.07304,0.23732,0.15422,0.10168,0.06703,0.98283,1.94629,2.61272,1.16981,0.0093664,0.0093664,0.0093664
34,1007.96,0.92949,1.6221,2.0986,1.08463,0.31922,0.16994,0.11088,0.07906,0.31949,0.16954,0.11087,0.07252,0.94018,1.87197,2.54696,1.13679,0.0093466,0.0093466,0.0093466
35,1035.44,0.93804,1.6284,2.10762,1.08595,0.31421,0.16273,0.11808,0.08677,0.31451,0.1605,0.11736,0.08069,0.92747,1.81317,2.4483,1.13448,0.0093268,0.0093268,0.0093268
36,1062.05,0.93048,1.60326,2.11496,1.093,0.32419,0.16355,0.11399,0.08044,0.32658,0.16179,0.11366,0.07461,0.99794,1.97157,2.69223,1.1838,0.009307,0.009307,0.009307
37,1090.19,0.91619,1.57288,2.07261,1.08335,0.31934,0.1507,0.10506,0.07366,0.31898,0.15331,0.1054,0.06916,0.96072,1.94695,2.65978,1.1781,0.0092872,0.0092872,0.0092872
38,1116.84,0.90756,1.58095,2.02821,1.07031,0.31901,0.17373,0.1248,0.08626,0.32033,0.17311,0.12393,0.08014,0.96855,1.93772,2.40198,1.1695,0.0092674,0.0092674,0.0092674
39,1143.9,0.91567,1.58241,2.03026,1.07438,0.30194,0.15774,0.10783,0.07514,0.30088,0.15677,0.10668,0.06873,1.00171,1.94427,2.58018,1.1947,0.0092476,0.0092476,0.0092476
40,1171.08,0.92348,1.58103,2.01899,1.07901,0.36523,0.17345,0.12404,0.08946,0.36546,0.17168,0.12378,0.08223,0.93072,1.87488,2.43464,1.13759,0.0092278,0.0092278,0.0092278
41,1200.35,0.92079,1.59458,2.01391,1.07973,0.30668,0.1881,0.12668,0.0915,0.30685,0.18902,0.12713,0.08505,0.93835,1.82613,2.55221,1.14129,0.009208,0.009208,0.009208
42,1227.76,0.92236,1.5854,2.00255,1.08199,0.28658,0.15901,0.11061,0.07837,0.29732,0.1575,0.10958,0.07232,0.96423,1.95409,2.7252,1.17533,0.0091882,0.0091882,0.0091882
