epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,561.734,1.13472,2.46734,5.16312,1.26408,0.00969,0.05447,0.00906,0.0078,0.00937,0.05254,0.00883,0.00731,0.95172,2.03028,4.7514,1.16803,3.09938e-05,3.09938e-05,3.09938e-05
2,1087.25,1.0766,2.11261,4.80902,1.21054,0.00857,0.12216,0.01017,0.00792,0.00834,0.11829,0.00985,0.0071,0.9857,1.99847,4.2681,1.19713,4.15358e-05,4.15358e-05,4.15358e-05
3,1603.86,1.07627,2.01751,4.52071,1.21477,0.1956,0.06679,0.01055,0.00776,0.21543,0.0614,0.01024,0.00703,0.98182,1.92013,4.06811,1.19616,3.16179e-05,3.16179e-05,3.16179e-05
