epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2275.36,0.65263,1.22808,1.45277,1.14164,0.38553,0.29852,0.28161,0.22647,0.38586,0.29883,0.28011,0.21056,0.77464,1.64734,1.74395,1.27378,0.0094258,0.0094258,0.0094258
31,2350.01,0.65518,1.22199,1.42592,1.13874,0.36402,0.2947,0.25968,0.208,0.36179,0.29548,0.25976,0.19652,0.78224,1.64766,1.88078,1.29158,0.009406,0.009406,0.009406
32,2424.55,0.66038,1.22458,1.46113,1.14928,0.39567,0.3209,0.29149,0.23462,0.39645,0.32084,0.29081,0.22206,0.75316,1.57708,1.73555,1.25628,0.0093862,0.0093862,0.0093862
33,2499.64,0.65566,1.20752,1.41665,1.14614,0.41048,0.31992,0.28936,0.23541,0.41306,0.31704,0.28761,0.22272,0.74302,1.60835,1.76838,1.25131,0.0093664,0.0093664,0.0093664
34,2573.79,0.65445,1.2185,1.40723,1.15196,0.41319,0.30999,0.29004,0.23164,0.41131,0.30767,0.28601,0.21818,0.76969,1.62368,1.75909,1.27545,0.0093466,0.0093466,0.0093466
35,2647.99,0.6452,1.18262,1.392,1.13272,0.40564,0.32158,0.29502,0.23673,0.40894,0.31825,0.29268,0.22203,0.76655,1.56651,1.72452,1.25877,0.0093268,0.0093268,0.0093268
36,2721.89,0.63521,1.14678,1.35163,1.13212,0.40778,0.33082,0.30717,0.25156,0.40762,0.33086,0.30693,0.23913,0.74176,1.53977,1.67971,1.2436,0.009307,0.009307,0.009307
37,2797.15,0.62891,1.15623,1.33275,1.12234,0.43495,0.28747,0.28898,0.23154,0.43688,0.28792,0.28873,0.21712,0.76214,1.58791,1.72602,1.25271,0.0092872,0.0092872,0.0092872
38,2872.14,0.63679,1.17603,1.36165,1.13136,0.40132,0.32949,0.30049,0.24211,0.41066,0.31851,0.30131,0.22897,0.74261,1.53785,1.6778,1.23847,0.0092674,0.0092674,0.0092674
39,2946.14,0.63733,1.18224,1.3249,1.13207,0.44335,0.31126,0.30484,0.24832,0.43944,0.31332,0.30345,0.23406,0.72959,1.51736,1.67448,1.22406,0.0092476,0.0092476,0.0092476
40,3020.76,0.62765,1.12858,1.28738,1.11634,0.42,0.3003,0.29735,0.2432,0.41099,0.30352,0.29832,0.22833,0.72826,1.57586,1.68551,1.24148,0.0092278,0.0092278,0.0092278
41,3094.45,0.64227,1.17425,1.31905,1.13296,0.43356,0.33026,0.32541,0.26438,0.4309,0.33098,0.32381,0.25035,0.72887,1.53443,1.61821,1.22583,0.009208,0.009208,0.009208
42,3168.74,0.62831,1.151,1.2974,1.12412,0.41368,0.32676,0.31746,0.26022,0.41218,0.32264,0.31513,0.24705,0.71454,1.48514,1.63093,1.22416,0.0091882,0.0091882,0.0091882
43,3242.66,0.6309,1.14074,1.27064,1.12183,0.46432,0.32305,0.31391,0.25695,0.46216,0.32189,0.31248,0.24408,0.71349,1.5045,1.64395,1.22202,0.0091684,0.0091684,0.0091684
44,3317.7,0.61738,1.10838,1.24226,1.1164,0.44477,0.33204,0.31455,0.25692,0.44665,0.32889,0.314,0.24145,0.72425,1.5206,1.69011,1.22387,0.0091486,0.0091486,0.0091486
45,3392.5,0.61306,1.11117,1.2457,1.11131,0.37152,0.34182,0.32629,0.26758,0.38954,0.33642,0.32742,0.24959,0.70327,1.47325,1.58716,1.19636,0.0091288,0.0091288,0.0091288
46,3467.15,0.61184,1.10549,1.24442,1.10018,0.41556,0.35475,0.32337,0.26723,0.42336,0.34132,0.32186,0.25233,0.74207,1.62012,1.72856,1.25973,0.009109,0.009109,0.009109
47,3541.64,0.61855,1.1058,1.2303,1.11123,0.50858,0.33475,0.34036,0.27823,0.50824,0.3348,0.33983,0.26366,0.70069,1.48674,1.57121,1.2058,0.0090892,0.0090892,0.0090892
48,3615.13,0.61032,1.12869,1.22328,1.10345,0.43581,0.34572,0.33293,0.27374,0.43758,0.34744,0.33358,0.2597,0.70229,1.44167,1.573,1.19694,0.0090694,0.0090694,0.0090694
49,3688.7,0.61288,1.10027,1.21027,1.11174,0.41139,0.32542,0.30615,0.25153,0.41278,0.32465,0.30558,0.23804,0.72783,1.55392,1.7393,1.25084,0.0090496,0.0090496,0.0090496
50,3762.79,0.62076,1.12615,1.21351,1.11658,0.45665,0.34018,0.33866,0.27766,0.45904,0.34217,0.34,0.26237,0.71857,1.52282,1.58295,1.22519,0.0090298,0.0090298,0.0090298
51,3837.83,0.61176,1.09685,1.19542,1.11256,0.43261,0.33486,0.33793,0.27728,0.43677,0.33107,0.33729,0.26057,0.69173,1.43885,1.54173,1.18398,0.00901,0.00901,0.00901
52,3912.5,0.60421,1.09938,1.16279,1.09648,0.41706,0.37288,0.34644,0.28506,0.41635,0.37047,0.34558,0.27001,0.69424,1.47319,1.55151,1.20257,0.0089902,0.0089902,0.0089902
53,3986.34,0.61712,1.10435,1.18044,1.10359,0.39241,0.3765,0.34116,0.2822,0.40933,0.35452,0.3392,0.26701,0.71043,1.45512,1.57925,1.21731,0.0089704,0.0089704,0.0089704
54,4061.07,0.60544,1.09233,1.15215,1.09781,0.41453,0.37266,0.3474,0.28598,0.41541,0.37411,0.34674,0.26972,0.70257,1.47266,1.56617,1.20961,0.0089506,0.0089506,0.0089506
55,4135.34,0.60596,1.08523,1.13924,1.09958,0.42834,0.35631,0.34012,0.28052,0.43026,0.35686,0.33978,0.26522,0.71461,1.52573,1.60083,1.22284,0.0089308,0.0089308,0.0089308
56,4209.27,0.60759,1.08224,1.12381,1.09644,0.40219,0.38277,0.3552,0.29501,0.40523,0.38079,0.35495,0.27898,0.68949,1.42096,1.50913,1.19355,0.008911,0.008911,0.008911
57,4282.99,0.59963,1.06479,1.14611,1.09674,0.45257,0.35963,0.33815,0.27748,0.4531,0.36086,0.33782,0.26263,0.71099,1.49941,1.60364,1.21874,0.0088912,0.0088912,0.0088912
58,4357.83,0.59752,1.05403,1.12272,1.09352,0.47255,0.33684,0.34982,0.28914,0.47241,0.33745,0.34863,0.272,0.69785,1.44114,1.54839,1.19417,0.0088714,0.0088714,0.0088714
59,4432.38,0.59745,1.06344,1.10638,1.0925,0.3884,0.36931,0.34309,0.28322,0.38796,0.37187,0.34292,0.26849,0.70259,1.45739,1.56487,1.20017,0.0088516,0.0088516,0.0088516
60,4506.49,0.58561,1.05003,1.12269,1.08428,0.46615,0.34144,0.34938,0.2897,0.46572,0.34315,0.34957,0.27512,0.6961,1.42846,1.5662,1.19866,0.0088318,0.0088318,0.0088318
61,4581.09,0.60503,1.06983,1.12048,1.1067,0.43788,0.35749,0.35878,0.29749,0.47394,0.3423,0.35786,0.28078,0.70242,1.4503,1.53723,1.21129,0.008812,0.008812,0.008812
62,4654.98,0.59342,1.05413,1.08271,1.08836,0.46342,0.35586,0.3543,0.29456,0.44925,0.36238,0.35294,0.27815,0.68343,1.42372,1.53927,1.1886,0.0087922,0.0087922,0.0087922
63,4728.61,0.59026,1.04328,1.07235,1.08661,0.49716,0.35207,0.35651,0.29608,0.49841,0.35299,0.35657,0.28111,0.68339,1.42354,1.52197,1.18661,0.0087724,0.0087724,0.0087724
64,4802.41,0.60062,1.0545,1.07866,1.09434,0.45797,0.35764,0.35731,0.29839,0.45996,0.35657,0.35897,0.28204,0.68926,1.46233,1.55066,1.19565,0.0087526,0.0087526,0.0087526
65,4876.45,0.59986,1.06641,1.08295,1.09303,0.48986,0.34243,0.35465,0.29421,0.49046,0.34021,0.35363,0.27807,0.68446,1.42556,1.562,1.17668,0.0087328,0.0087328,0.0087328
66,4951.07,0.58325,1.04418,1.06027,1.08568,0.44249,0.37403,0.36316,0.30177,0.44511,0.37554,0.36296,0.2845,0.69143,1.44963,1.52337,1.21095,0.008713,0.008713,0.008713
67,5025.21,0.59314,1.04169,1.05485,1.08648,0.45495,0.37618,0.35578,0.2968,0.45684,0.37951,0.35688,0.28118,0.68782,1.47206,1.5497,1.20719,0.0086932,0.0086932,0.0086932
68,5099.85,0.57389,1.01161,1.03214,1.0717,0.43891,0.36449,0.35187,0.29318,0.43934,0.36409,0.35152,0.27706,0.68416,1.4616,1.56821,1.19251,0.0086734,0.0086734,0.0086734
69,5173.49,0.58232,1.03621,1.03978,1.07338,0.46556,0.36886,0.37782,0.31511,0.46702,0.37093,0.3789,0.29367,0.67138,1.4221,1.5191,1.18317,0.0086536,0.0086536,0.0086536
70,5247.77,0.58215,1.02515,1.01965,1.08074,0.48667,0.33696,0.3636,0.30238,0.44564,0.35256,0.36393,0.28652,0.68184,1.44995,1.54495,1.18372,0.0086338,0.0086338,0.0086338
71,5321.85,0.57847,1.03029,1.0238,1.07702,0.48323,0.3665,0.36837,0.30578,0.4815,0.36769,0.36878,0.29152,0.67374,1.42536,1.55986,1.18738,0.008614,0.008614,0.008614
72,5395.65,0.58527,1.0206,1.01866,1.08261,0.5078,0.36015,0.37495,0.31352,0.5065,0.35999,0.37293,0.29397,0.67067,1.39286,1.5052,1.1818,0.0085942,0.0085942,0.0085942
73,5469.84,0.59435,1.04622,1.03934,1.09034,0.46526,0.36089,0.36799,0.30416,0.46635,0.36311,0.36884,0.28965,0.68312,1.43564,1.5357,1.19295,0.0085744,0.0085744,0.0085744
74,5543.88,0.57317,1.00684,0.99112,1.07018,0.48477,0.36535,0.37242,0.30987,0.49185,0.36687,0.37486,0.29339,0.67061,1.42404,1.50131,1.18426,0.0085546,0.0085546,0.0085546
75,5618.41,0.58735,1.02463,0.99168,1.07719,0.46023,0.3583,0.36664,0.30593,0.4606,0.36038,0.36811,0.28878,0.66882,1.40276,1.5107,1.1663,0.0085348,0.0085348,0.0085348
76,5692.42,0.56678,0.98531,0.96052,1.06068,0.48726,0.37631,0.37506,0.31228,0.4866,0.37585,0.3739,0.29611,0.67178,1.42375,1.5208,1.17938,0.008515,0.008515,0.008515
77,5766.19,0.57721,1.01853,0.99647,1.07173,0.47586,0.38782,0.37748,0.31322,0.47572,0.38794,0.377,0.29757,0.67526,1.4161,1.52022,1.18664,0.0084952,0.0084952,0.0084952
78,5840.37,0.57573,1.01132,0.99086,1.07783,0.45684,0.39558,0.38125,0.31823,0.45792,0.39116,0.38045,0.30225,0.66471,1.39608,1.49202,1.17622,0.0084754,0.0084754,0.0084754
79,5915.84,0.56302,0.9909,0.95711,1.06497,0.46454,0.3935,0.38164,0.3193,0.4643,0.39442,0.38209,0.30089,0.6638,1.40559,1.50278,1.17536,0.0084556,0.0084556,0.0084556
80,5991.11,0.57384,1.0135,0.97465,1.07339,0.45362,0.41189,0.38601,0.32336,0.4619,0.40096,0.38492,0.30579,0.66279,1.3888,1.48154,1.17598,0.0084358,0.0084358,0.0084358
81,6067.6,0.57178,0.99857,0.9742,1.06631,0.45,0.38679,0.38117,0.31785,0.41905,0.39297,0.38085,0.30037,0.66615,1.40768,1.50186,1.17576,0.008416,0.008416,0.008416
82,6142.93,0.56977,0.987,0.9418,1.06216,0.45016,0.37417,0.3769,0.31611,0.47819,0.3711,0.37931,0.29871,0.65969,1.4049,1.49803,1.16648,0.0083962,0.0083962,0.0083962
83,6217.88,0.56654,0.98617,0.94131,1.06382,0.4774,0.39141,0.3825,0.32224,0.47717,0.39189,0.38297,0.30462,0.66704,1.42252,1.5151,1.18243,0.0083764,0.0083764,0.0083764
84,6293.91,0.56927,0.96241,0.91917,1.067,0.5299,0.363,0.38459,0.32371,0.53427,0.36509,0.38562,0.30737,0.663,1.39016,1.48661,1.17095,0.0083566,0.0083566,0.0083566
85,6369,0.55794,0.96314,0.90149,1.05073,0.51368,0.3703,0.37803,0.31726,0.51672,0.37033,0.37875,0.29995,0.66786,1.42648,1.51823,1.17724,0.0083368,0.0083368,0.0083368
86,6444.4,0.5632,0.97089,0.92613,1.06316,0.45069,0.38113,0.38198,0.31888,0.45436,0.38429,0.38716,0.30367,0.67003,1.42135,1.5103,1.18338,0.008317,0.008317,0.008317
87,6520,0.56472,0.98508,0.9261,1.0664,0.46095,0.40141,0.38855,0.3263,0.46638,0.40265,0.39149,0.30939,0.66224,1.41348,1.49013,1.16946,0.0082972,0.0082972,0.0082972
88,6595.7,0.55527,0.9801,0.91586,1.05541,0.51567,0.38199,0.38601,0.32308,0.51584,0.38374,0.38687,0.30576,0.65799,1.39482,1.49656,1.17027,0.0082774,0.0082774,0.0082774
89,6671.86,0.55823,0.9658,0.90799,1.06204,0.50283,0.3763,0.38344,0.31963,0.50539,0.3794,0.38441,0.30385,0.67416,1.434,1.52007,1.19227,0.0082576,0.0082576,0.0082576
90,6746.29,0.57097,0.98581,0.89911,1.06886,0.47879,0.39138,0.38102,0.31725,0.47759,0.39163,0.38113,0.30058,0.67335,1.42525,1.5402,1.19229,0.0082378,0.0082378,0.0082378
91,6819.58,0.56815,0.97393,0.88721,1.06151,0.47879,0.39123,0.38156,0.31917,0.48166,0.39369,0.3835,0.30318,0.66058,1.40019,1.49632,1.17238,0.008218,0.008218,0.008218
92,6892.96,0.56188,0.96504,0.8694,1.04999,0.48757,0.38127,0.3759,0.31535,0.49102,0.38339,0.37668,0.29959,0.66428,1.44048,1.53734,1.1824,0.0081982,0.0081982,0.0081982
93,6967.12,0.56088,0.97021,0.88471,1.05142,0.50122,0.38359,0.38443,0.32436,0.50619,0.38306,0.38622,0.30687,0.65757,1.42681,1.514,1.17434,0.0081784,0.0081784,0.0081784
